Dataset,Axis,Stage,Mean,Std,Min,Max
Zero,X,Before Rotation,139.3437407720929,19.20604621183037,85.22546291351318,169.42358016967773
Zero,X,After Rotation,182.00909844395778,8.31242154081419,161.28281334724363,192.47000525791046
Zero,Y,Before Rotation,-114.72087058795803,20.544737751112837,-149.79788661003113,-64.9341344833374
Zero,Y,After Rotation,2.9663066711688058,25.725142571078084,-57.99132460187431,55.40825725714621
Zero,Z,Before Rotation,-30.388498693510986,21.201195884697842,-70.38730382919312,26.05605125427246
Zero,Z,After Rotation,19.102518211351544,22.57365400460917,-27.968679362797886,76.61062151805021
45,X,Before Rotation,206.26960690118676,10.240299676254494,176.12683773040771,221.1754322052002
45,X,After Rotation,241.5963380306679,11.518667991243529,215.84973800949598,256.3839523048516
45,Y,Before Rotation,-128.98148638835409,20.402086465939806,-162.4179482460022,-86.42955124378204
45,Y,After Rotation,34.350025615045446,17.66326627519462,-3.1142451291489266,68.41650971680151
45,Z,Before Rotation,-38.95465178468238,18.926902091404923,-72.35419750213623,14.648079872131348
45,Z,After Rotation,33.94296168872259,20.84864035374691,-5.68590382321601,88.17165706121813
90,X,Before Rotation,263.62718929951336,17.300491969639975,222.46360778808594,290.20488262176514
90,X,After Rotation,230.56264771507276,23.5534767905822,170.6945562739923,274.31311317366294
90,Y,Before Rotation,-36.65265970927953,20.519562057511312,-84.597647190094,3.2973289489746094
90,Y,After Rotation,145.61838350306564,9.95467982181612,118.00141534321317,159.67114696321133
90,Z,Before Rotation,-65.76923537097606,19.090985072431724,-99.78848695755005,-11.046648025512695
90,Z,After Rotation,28.362943915925,20.759654168123287,-12.011296694526543,75.63775270457981
